ID;thesis_title;thesis_keywords;student_faculty;student_level;Problématique;interet;Méthode;technologies;description_sujet
1;"Conception et etude statique du tablier en acier d'un pont suspendu de 170m de portée.
Ouvrage à ériger sur l'axe Nzulo-Matanda";pont suspendu, tablier acier, génie civil, charge, stabilité;Genie civil;L3;"""Comment dimensionner un tablier en acier de 170m pour garantir sa stabilité statique sous des charges mobiles dans un environnement à relief accidenté ?""";Faciliter le transit sécurisé des marchandises sur un axe à relief montagneux (Butembo), réduisant les risques de rupture de charge.;Calcul des efforts de tension dans les câbles, dimensionnement du tablier mixte et vérification de la stabilité des culées sur versants pentus;Robot Structural Analysis, BIM (Revit Structure).;Conception d'un pont suspendu de 170m intégrant des solutions de stabilité aérodynamique.
2;VALORISATION DES DECHETS DE VERRE COMME SUBSTITUT PARTIEL AUX GRANULATS DANS LA FABRICATION DU BETON : ETUDE EXPERIMENTALE DES PROPRIETES MECANIQUES ET DE LA DURABILITE;béton recyclé, déchets de verre, granulats, durabilité, propriétés mécaniques;Genie civil;L3;"""Peut-on substituer partiellement les granulats naturels par du verre recyclé tout en maintenant la résistance mécanique et la durabilité du béton ?""";Réduction de l'empreinte carbone et gestion des déchets vitreux à Goma.;Formulation expérimentale Dreux-Gorisse avec analyse de la réaction alcali-silice.;Presse hydraulique, MATLAB (optimisation).;Valorisation du verre recyclé comme substitut granulaire pour un béton écologique.
3;"Optimisation du déplacement d'une poutre en treillis Warren sur base des indicateurs morphologiques appuyée sur les lignes d'influence. 
Application à un pont de 20m";poutre treillis Warren, optimisation, indicateurs morphologiques, lignes d’influence, pont 20m;Genie civil;L3;"""Comment utiliser les lignes d'influence pour optimiser le positionnement des charges et minimiser les contraintes internes d'une poutre en treillis Warren ?""";Rentabilisation des matériaux pour les ouvrages d'art de 20m.;Analyse itérative des lignes d'influence et optimisation topologique des nœuds.;SAP2000, Python (Scripting).;Optimisation structurelle d'une poutre Warren visant le ratio poids/résistance maximal.
4;Optimisation des méthodes de conceptions expérimentales  pour améliorer les propriétés mécaniques et de durabilités du Béton fait à base d'agrégats recyclés.; béton recyclé, agrégats, formulation, performances mécaniques, durabilité;Genie civil;TECH2;"Comment optimiser mathématiquement les plans d'expériences pour maximiser la durabilité et les performances du béton à base d'agrégats recyclés ?""";Fiabilisation des matériaux de récupération pour la reconstruction urbaine.;Méthode des surfaces de réponse (Plans d'expériences) pour la durabilité.;Minitab, Presse à béton.;Optimisation mathématique des mélanges de béton recyclé pour maximiser la résistance.
5;CONCEPTION ET DIMENSIONNEMENT D’UN SYSTEME DE DRAINAGE DES EAUX PLUVIAL D’UNE ROUTE URBAINE, CAS DE LA TRONCON TERMINUS-ROND POINT ULPGL-HOTEL KARIBU;"drainage eaux pluviales, route urbaine, assainissement, dimensionnement
";Genie civil;L3;"""Comment dimensionner un réseau d'évacuation gravitaire capable de gérer des débits de pointe sur un tronçon à forte pente tout en protégeant la structure de la chaussée contre l'affouillement et l'érosion pluviale ?""";Digitalisation du contrôle technique des bâtiments industriels à Bunia.;Analyse comparative : Calcul aux États Limites vs Modélisation Numérique.;Robot Structural Analysis, Tekla Structures.;Audit de fiabilité des structures métalliques pour garantir la sécurité des ERP à Bunia.
6;Étude du degré de fiabilité des calculs manuels des structures métalliques. Application sur un hangar à l'hôpital général de la référence de Bunia.;fiabilité calculs manuels, structures métalliques, hangar, vérification, sécurité;Genie civil;TECH2;"""Quelle est la marge d'erreur entre les méthodes de calcul manuel et les simulations numériques pour garantir la sécurité structurelle des hangars de grande portée ?""";Optimisation du coût des immeubles R+5 en zone sismique (Goma).;Analyse modale spectrale et étude de l'excentricité des masses.;ETABS, Advance Design.;Analyse de l'impact de la disposition des voiles sur la rentabilité et la résilience sismique.
7;INFLUENCE DE LA DISPOSITION DES ELEMENTS STRUCTURAUX SUR LA RENTABILITE ECONOMIQUE DES STRUCTURES EN BA .APPLICATION A UN IMMEUBLE RDC+5 A GOMA; disposition éléments structuraux, rentabilité économique, béton armé, immeuble RDC+5, optimisation;Genie civil;TECH2;"""Dans quelle mesure l'agencement des éléments porteurs impacte-t-il le coût de construction tout en respectant les normes parasismiques en zone volcanique ?""";Promotion de l'éco-construction durable et saine pour les orphelins.;Dimensionnement aux Eurocodes 5 et traitement par imprégnation.;SketchUp Pro, RFEM.;Conception d'une structure R+2 en bois maximisant le confort thermique et la stabilité.
8;Conception et dimensionnement d'un immeuble R+2 servant d'un orphelinat en bois à goma; immeuble R+2, structure bois, conception, dimensionnement;Genie civil;L3;"""Comment dimensionner une structure R+2 en bois pour assurer sa stabilité mécanique et sa durabilité face aux agents biologiques et climatiques tropicaux ?""";Réduction drastique de la facture énergétique des bâtiments de la FSTA.;Logique floue pour la régulation lumineuse et monitoring temps réel.;Arduino IDE, Node-RED (IoT).;Système domotique d'éclairage intelligent avec supervision à distance pour la gestion d'énergie.
9;Conception et dimensionnement d’un bâtiment en béton armé R+3: A usage d’un Hôpital au Sud-Kivu à d’Idjwi/Groupement Mugote;hôpital R+3,béton armé,dimensionnement,structure,génie civil, Sud-Kivu, infrastructure sanitaire;Genie civil;L3;"""Comment dimensionner une structure hospitalière R+3 en béton armé pour répondre aux exigences de sécurité et de fonctionnalité en zone de climat tropical ?""";Assurer la pérennité des soins sur l'île d'Idjwi face aux contraintes d'accès.;Analyse de la portance des sols argileux et calcul sous vent lacustre.;Arche Ossature, Revit (BIM).;Dimensionnement complet d'une infrastructure médicale R+3 adaptée au milieu insulaire du Sud-Kivu.
10;ETUDE COMPARATIVE DE METHODES DE DIMENSIONNEMENT  DES FOSSES SEPTIQUES ET OPTIMISATION DE LA MISE EN ŒUVRE DANS UN SOL ROCHEUX. CAS D’UNE FOSSE SEPTIQUE D’UN APPARTEMENT R+4 DANS LA VILLE DE GOMA.;" fosse septique,sol rocheux,assainissement,dimensionnement; mise en œuvre,génie civil, traitement eaux usées";Genie civil;L3;"""Quelle est la méthode de dimensionnement la plus efficiente pour des fosses septiques installées dans des sols rocheux à faible perméabilité ?""";Prévenir la pollution de la nappe phréatique à Goma sur socle basaltique.;Étude de perméabilité in situ et optimisation du blindage étanche.;AutoCAD, Logiciels de modélisation hydraulique.;Analyse comparative visant à définir la structure de traitement des eaux usées en terrain rocheux.
11;Conception et dimensionnement d’une gare routière moderne en béton armé au rond point kihisi à goma;gare routière,béton armé,infrastructure transport,dimensionnement;Genie civil;L3;"""Comment optimiser le dimensionnement d'une infrastructure de transport routier en béton armé pour supporter des charges lourdes constantes ?""";Fluidifier le transport urbain au point d'entrée Nord de Goma (Kihisi).;Calcul des dalles à forte résistance et modélisation de la circulation lourde.;Robot Structural Analysis, InfraWorks.;Conception structurelle d'une plateforme de transport durable pour trafic intense.
12;Étude comparative des performances hydriques et mécaniques du béton et du mortier fait à base des hydrofuges courants à Goma : cas du Sikalite (type leak seal) et Dr. Fixit.;hydrofuge,béton,mortier,imperméabilité,perméabilité,Sikalite,Dr Fixit,durabilité, performances mécaniques,étude comparative;Genie civil;L3;"""Dans quelle mesure l'ajout d'adjuvants hydrofuges et de Sikalite modifie-t-il la porosité et la durabilité des mortiers de ciment ?""";Améliorer la durabilité des fondations à Goma face aux sols volcaniques.;Essais comparatifs d'absorption d'eau et tests de pression hydrostatique.;Appareils de mesure d'humidité, Analyse statistique.;Étude expérimentale sur l'efficacité des hydrofuges de masse pour protéger les structures en béton.
13;Conception et réalisation d'une aérogare résistant aux efforts climatiques : cas de l’aéroport international de GOMA;architecture, aérogare, aéroport, climatiques, conception, de, durabilité, efforts, goma, infrastructures, international, transport;Genie civil;L3;"""Comment adapter la conception structurelle et les matériaux d'une aérogare pour résister aux contraintes thermiques et climatiques extrêmes ?""";Renforcer l'infrastructure aéroportuaire face aux gaz corrosifs du volcan.;Calcul de charpente métallique complexe et simulation anti-corrosion.;Tekla Structures, Robot Structural Analysis.;Projet d'ingénierie aéroportuaire intégrant des matériaux de haute durabilité environnementale.
14;ETUDE DE L’AMENAGEMENT D’UNE CHAUSSEE EN PAVEE VOLCANIQUE RELIANT LA RN2 A LA ROUTE L’ULPGL;chaussée pavée,pavés volcaniques,aménagement routier,RN2,ULPGL,génie civil, sécurité, matériaux locaux;Genie civil;L3;"""Quelle structure de chaussée en pavés autobloquants est la plus adaptée pour stabiliser durablement une voie à fort trafic en zone urbaine ?""";Valoriser la pierre de lave pour une voirie urbaine durable et esthétique.;Dimensionnement du corps de chaussée et étude de l'adhérence des pavés.;Civil 3D, Essais Los Angeles.;Conception d'une chaussée urbaine optimisant l'usage de la pierre volcanique locale.
